"book","chapter","verse","edition","text" 
"Gal","6","09","3.02","[ὁ@dans δέ@cc καλός@anansn ποιέω@vppanmp μή@x ἐγκακέω@vspa1p καιρός@ndmsc γάρ@cc ἴδιος@andmsn θερίζω@vifa1p μή@x ἐκλύω@vpppnmp]" 
"Gal","6","10","3.02","[ἄρα@x οὖν@cc ὡς@cs καιρός@namsc ἔχω@vspa1p ἐργάζομαι@vspm1p ὁ@dans ἀγαθός@anansn πρός@pa πᾶς@aiampn μάλιστα@b δέ@cc πρός@pa ὁ@damp οἰκεῖος@anampn ὁ@dgfs πίστις@ngfsc]" 
"Gal","6","13a","3.02","[οὐδέ@b γάρ@cc ὁ@dnmp περιτέμνω@vpppnmp αὐτός@rtnmp νόμος@namsc φυλάσσω@vipa3p]" 
"Gal","6","14b","3.02","[διά@pg ὅς@rrgms ἐγώ@rpd-s κόσμος@nnmsc σταυρόω@vixp3s καί@cc ἐγώ@rpn-s κόσμος@ndmsc]" 
"Gal","6","16","3.02","[(καί@cc ὅσος@rrnmp ὁ@ddms κανών@ndmsc οὗτος@rddms στοιχέω@vifa3p εἰρήνη@nnfsc ἐπί@pa αὐτός@rpamp καί@cc ἔλεος@nnnsc καί@cc ἐπί@pa ὁ@dams Ἰσραήλ@namsp ὁ@dgms θεός@ngmsc)]" 
"Gal","6","17","3.02","ὁ@dgnp δέ@cc ἄλλος@aignpn εἰκῇ@b κόπος@nampc ἐγώ@rpd-s μηδείς@rinms παρέχω@vdpa3s ἐγώ@rpn-s γάρ@cc ὁ@danp στίγμα@nanpc ὁ@dgms Ἰησοῦς@ngmsp ἐν@pd ὁ@ddns σῶμα@ndnsc ἐγώ@rpg-s βαστάζω@vipa1s" 
"1Cr","1","01","3.02","[Παῦλος@nnmsp κλητός@annmsn ἀπόστολος@nnmsc Χριστός@ngmsp Ἰησοῦς@ngmsp διά@pg θέλημα@ngnsc θεός@ngmsc καί@cc Σωσθένης@nnmsp ὁ@dnms ἀδελφός@nnmsc]" 
"1Cr","1","02","3.02","[ὁ@ddfs ἐκκλησία@ndfsc ὁ@dgms θεός@ngmsc ὁ@ddfs εἰμί@vppadfs ἐν@pd Κόρινθος@ndfsp ἁγιάζω@vpxpdmp ἐν@pd Χριστός@ndmsp Ἰησοῦς@ndmsp κλητός@andmpn ἅγιος@andmpn σύν@pd πᾶς@aidmpn ὁ@ddmp ἐπικαλέω@vppmdmp ὁ@dans ὄνομα@nansc ὁ@dgms κύριος@ngmsc ἐγώ@rpg-p Ἰησοῦς@ngmsp Χριστός@ngmsp ἐν@pd πᾶς@aidmsn τόπος@ndmsc αὐτός@rpgmp καί@cc ἐγώ@rpg-p]" 
"1Cr","1","03","3.02","[χάρις@nnfsc σύ@rpd-p καί@cc εἰρήνη@nnfsc ἀπό@pg θεός@ngmsc πατήρ@ngmsc ἐγώ@rpg-p καί@cc κύριος@ngmsc Ἰησοῦς@ngmsp Χριστός@ngmsp]" 
"1Cr","1","18","3.02","ὁ@dnms γάρ@cc σταυρός@nnmsc ὁ@dgms Χριστός@ngmsp ὁ@ddmp μέν@x ἀπόλλυμι@vppedmp μωρία@nnfsc εἰμί@vipa3s ὁ@ddmp δέ@cc σῴζω@vpppdmp δύναμις@nnfsc καί@cc σοφία@nnfsc θεός@ngmsc εἰμί@vipa3s" 
